id	time	电需求	热需求	泛能机产电量	泛能机产热量	泛能机消耗燃气量	补燃锅炉产热量	补燃锅炉消耗燃气量	泛能机电效率	泛能机热效率	补燃锅炉热效率	市电	市热	光伏消耗	光伏存储	光伏产电量	光热消耗	光热存储	光热产热量	储电量	储热量
1115	02/16 10	0.53 	28.41 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	25.38 	0.53 	0.08 	0.61 	3.03 	0	3.03 	0.74 	0.00 
1116	02/16 11	0.84 	16.49 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	10.77 	0.84 	0.30 	1.14 	5.72 	0	5.72 	1.04 	0.00 
1117	02/16 12	0.84 	11.16 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	5.76 	0.84 	0.24 	1.08 	5.40 	0	5.40 	1.27 	0.00 
1118	02/16 13	0.84 	10.03 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	5.54 	0.84 	0.05 	0.90 	4.49 	0	4.49 	1.32 	0.00 
1119	02/16 14	0.84 	9.27 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	6.10 	0.64 	0.00 	0.64 	3.18 	0	3.18 	1.11 	0.00 
1120	02/16 15	0.84 	8.89 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	7.18 	0.34 	0.00 	0.34 	1.71 	0	1.71 	0.60 	0.00 
1121	02/16 16	1.40 	8.87 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.20 	3.80 	0.07 	0.00 	0.07 	0.35 	0	0.35 	0.03 	0.08 
1122	02/16 17	2.10 	10.06 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	3.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.03 	0.06 
1123	02/16 18	3.27 	13.66 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	7.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.06 	0.04 
1124	02/16 19	3.27 	18.04 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	11.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.04 
1125	02/16 20	3.11 	21.46 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.20 	15.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.01 
1126	02/16 21	2.65 	24.46 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	18.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.02 	0.09 
1127	02/16 22	1.71 	24.98 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	18.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.05 
1128	02/16 23	0.23 	27.17 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	23.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.07 
1129	02/17 00	0.07 	28.94 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.03 	28.86 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1130	02/17 01	0.07 	34.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	34.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1131	02/17 02	0.07 	35.22 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.22 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1132	02/17 03	0.07 	36.22 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	36.22 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1133	02/17 04	0.07 	37.23 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	37.23 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1134	02/17 05	1.20 	38.90 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	32.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.04 
1135	02/17 06	1.83 	38.50 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.90 	32.10 	0.06 	0.00 	0.06 	0.31 	0	0.31 	0.04 	0.08 
1136	02/17 07	1.20 	39.32 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.00 	31.50 	0.33 	0.00 	0.33 	1.67 	0	1.67 	0.07 	0.07 
1137	02/17 08	0.37 	38.75 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	35.59 	0.37 	0.25 	0.62 	3.10 	0	3.10 	0.31 	0.00 
1138	02/17 09	0.53 	39.24 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	35.41 	0.53 	0.24 	0.77 	3.83 	0	3.83 	0.55 	0.00 
1139	02/17 10	0.53 	27.59 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	22.98 	0.53 	0.39 	0.92 	4.61 	0	4.61 	0.93 	0.00 
1140	02/17 11	0.84 	16.49 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	13.62 	0.57 	0.00 	0.57 	2.87 	0	2.87 	0.66 	0.00 
1141	02/17 12	0.84 	11.36 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	6.75 	0.84 	0.08 	0.92 	4.61 	0	4.61 	0.73 	0.00 
1142	02/17 13	0.84 	10.09 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	6.25 	0.77 	0.00 	0.77 	3.84 	0	3.84 	0.66 	0.00 
1143	02/17 14	0.84 	9.01 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	5.90 	0.62 	0.00 	0.62 	3.11 	0	3.11 	0.43 	0.00 
1144	02/17 15	0.84 	8.58 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.08 	6.89 	0.34 	0.00 	0.34 	1.68 	0	1.68 	0.00 	0.00 
1145	02/17 16	1.40 	8.41 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	2.00 	0.06 	0.00 	0.06 	0.32 	0	0.32 	0.06 	0.05 
1146	02/17 17	2.10 	9.50 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	3.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.09 
1147	02/17 18	3.27 	12.82 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	6.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.00 
1148	02/17 19	3.27 	17.08 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	11.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.06 
1149	02/17 20	3.11 	20.63 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	14.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.07 
1150	02/17 21	2.65 	23.95 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	17.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.06 
1151	02/17 22	1.71 	24.98 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	18.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.03 	0.02 
1152	02/17 23	0.23 	27.78 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	24.20 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.06 	0.04 
1153	02/18 00	0.07 	29.95 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.01 	29.91 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1154	02/18 01	0.07 	35.16 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.16 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1155	02/18 02	0.07 	35.95 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.95 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1156	02/18 03	0.07 	36.22 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	36.22 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1157	02/18 04	0.07 	36.66 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	36.66 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1158	02/18 05	1.20 	38.03 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	31.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.01 
1159	02/18 06	1.83 	36.74 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.00 	30.50 	0.02 	0.00 	0.02 	0.09 	0	0.09 	0.09 	0.00 
1160	02/18 07	1.20 	36.01 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.20 	29.50 	0.08 	0.00 	0.08 	0.41 	0	0.41 	0.08 	0.04 
1161	02/18 08	0.37 	35.03 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.15 	34.23 	0.15 	0.00 	0.15 	0.76 	0	0.76 	0.00 	0.00 
1162	02/18 09	0.53 	36.16 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.10 	31.50 	0.21 	0.00 	0.21 	1.07 	0	1.07 	0.04 	0.02 
1163	02/18 10	0.53 	26.90 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	22.00 	0.26 	0.00 	0.26 	1.29 	0	1.29 	0.03 	0.00 
1164	02/18 11	0.84 	17.29 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	11.20 	0.27 	0.00 	0.27 	1.37 	0	1.37 	0.04 	0.08 
1165	02/18 12	0.84 	13.19 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	7.10 	0.26 	0.00 	0.26 	1.29 	0	1.29 	0.03 	0.08 
1166	02/18 13	0.84 	12.94 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	7.00 	0.22 	0.00 	0.22 	1.08 	0	1.08 	0.08 	0.02 
1167	02/18 14	0.84 	12.28 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.10 	6.70 	0.15 	0.00 	0.15 	0.76 	0	0.76 	0.07 	0.00 
1168	02/18 15	0.84 	11.19 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.20 	6.00 	0.08 	0.00 	0.08 	0.42 	0	0.42 	0.08 	0.03 
1169	02/18 16	1.40 	10.36 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	4.10 	0.02 	0.00 	0.02 	0.09 	0	0.09 	0.10 	0.01 
1170	02/18 17	2.10 	10.83 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	4.70 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.02 
1171	02/18 18	3.27 	13.73 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	7.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.02 	0.02 
1172	02/18 19	3.27 	17.32 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	11.20 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.04 
1173	02/18 20	3.11 	20.08 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.20 	13.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.03 	0.00 
1174	02/18 21	2.65 	22.50 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.80 	16.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.04 
1175	02/18 22	1.71 	22.83 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	16.70 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.05 
1176	02/18 23	0.23 	24.87 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.16 	24.82 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1177	02/19 00	0.07 	26.40 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	26.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1178	02/19 01	0.07 	30.80 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	30.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1179	02/19 02	0.07 	31.44 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	31.44 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1180	02/19 03	0.07 	31.61 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	31.61 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1181	02/19 04	0.07 	32.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	32.04 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1182	02/19 05	1.20 	33.39 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	27.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.05 
1183	02/19 06	1.83 	32.62 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.90 	26.10 	0.07 	0.00 	0.07 	0.36 	0	0.36 	0.05 	0.03 
1184	02/19 07	1.20 	32.23 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.00 	24.50 	0.32 	0.00 	0.32 	1.59 	0	1.59 	0.07 	0.03 
1185	02/19 08	0.37 	30.80 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	27.87 	0.37 	0.21 	0.58 	2.90 	0	2.90 	0.27 	0.00 
1186	02/19 09	0.53 	30.89 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	26.81 	0.53 	0.29 	0.82 	4.08 	0	4.08 	0.55 	0.00 
1187	02/19 10	0.53 	21.82 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	17.04 	0.53 	0.43 	0.96 	4.79 	0	4.79 	0.97 	0.00 
1188	02/19 11	0.84 	13.30 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	8.12 	0.84 	0.19 	1.04 	5.18 	0	5.18 	1.16 	0.00 
1189	02/19 12	0.84 	9.54 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	4.75 	0.84 	0.11 	0.96 	4.79 	0	4.79 	1.27 	0.00 
1190	02/19 13	0.84 	9.01 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	4.93 	0.82 	0.00 	0.82 	4.09 	0	4.09 	1.24 	0.00 
1191	02/19 14	0.84 	8.41 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	5.56 	0.57 	0.00 	0.57 	2.85 	0	2.85 	0.96 	0.00 
1192	02/19 15	0.84 	7.58 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	6.66 	0.18 	0.00 	0.18 	0.92 	0	0.92 	0.29 	0.00 
1193	02/19 16	1.40 	7.15 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.20 	0.70 	0.07 	0.00 	0.07 	0.37 	0	0.37 	0.06 	0.06 
1194	02/19 17	2.10 	8.00 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	1.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.00 
1195	02/19 18	3.27 	10.71 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	4.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.03 
1196	02/19 19	3.27 	14.44 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	8.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.02 
1197	02/19 20	3.11 	17.39 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.30 	11.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.07 
1198	02/19 21	2.65 	20.12 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	14.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.08 
1199	02/19 22	1.71 	20.79 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	14.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.03 	0.03 
1200	02/19 23	0.23 	23.41 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	19.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.06 	0.01 
1201	02/20 00	0.07 	25.51 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.01 	25.50 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1202	02/20 01	0.07 	30.36 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	30.36 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1203	02/20 02	0.07 	31.58 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	31.58 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1204	02/20 03	0.07 	32.47 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	32.47 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1205	02/20 04	0.07 	33.19 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	33.19 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1206	02/20 05	1.20 	34.69 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	28.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.05 
1207	02/20 06	1.83 	34.53 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.90 	28.00 	0.09 	0.00 	0.09 	0.43 	0	0.43 	0.06 	0.08 
1208	02/20 07	1.20 	35.54 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.10 	28.30 	0.21 	0.00 	0.21 	1.03 	0	1.03 	0.07 	0.01 
1209	02/20 08	0.37 	35.20 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	32.01 	0.37 	0.26 	0.64 	3.18 	0	3.18 	0.33 	0.00 
1210	02/20 09	0.53 	35.61 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	31.07 	0.53 	0.38 	0.91 	4.54 	0	4.54 	0.70 	0.00 
1211	02/20 10	0.53 	25.12 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	19.68 	0.53 	0.56 	1.09 	5.44 	0	5.44 	1.24 	0.00 
1212	02/20 11	0.84 	14.90 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	9.13 	0.84 	0.31 	1.15 	5.76 	0	5.76 	1.55 	0.00 
1213	02/20 12	0.84 	10.21 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	4.77 	0.84 	0.25 	1.09 	5.45 	0	5.45 	1.79 	0.00 
1214	02/20 13	0.84 	9.01 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	4.46 	0.84 	0.07 	0.91 	4.55 	0	4.55 	1.85 	0.00 
1215	02/20 14	0.84 	8.01 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	4.75 	0.65 	0.00 	0.65 	3.25 	0	3.25 	1.66 	0.00 
1216	02/20 15	0.84 	7.71 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	5.94 	0.35 	0.00 	0.35 	1.77 	0	1.77 	1.16 	0.00 
1217	02/20 16	1.40 	7.67 	0.26 	3.60 	0.29 	0	0	0.08 	1.19 	0	0.00 	3.90 	0.05 	0.00 	0.05 	0.26 	0	0.26 	0.04 	0.09 
1218	02/20 17	2.10 	8.83 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	2.70 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.03 	0.10 
1219	02/20 18	3.27 	12.05 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	5.90 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.06 	0.08 
1220	02/20 19	3.27 	16.20 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	10.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.02 
1221	02/20 20	3.11 	19.43 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.20 	13.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.03 
1222	02/20 21	2.65 	22.29 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	16.20 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.02 	0.08 
1223	02/20 22	1.71 	22.94 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	16.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.07 
1224	02/20 23	0.23 	25.23 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	21.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.04 
1225	02/21 00	0.07 	27.16 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.03 	27.12 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1226	02/21 01	0.07 	32.11 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	32.11 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1227	02/21 02	0.07 	33.33 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	33.33 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1228	02/21 03	0.07 	34.20 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	34.20 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1229	02/21 04	0.07 	35.07 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	35.07 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1230	02/21 05	1.20 	36.73 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	30.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.01 
1231	02/21 06	1.83 	36.00 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.90 	29.60 	0.07 	0.00 	0.07 	0.34 	0	0.34 	0.04 	0.09 
1232	02/21 07	1.20 	35.86 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.10 	28.90 	0.16 	0.00 	0.16 	0.79 	0	0.79 	0.01 	0.07 
1233	02/21 08	0.37 	34.52 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	32.02 	0.37 	0.11 	0.49 	2.44 	0	2.44 	0.12 	0.00 
1234	02/21 09	0.53 	34.34 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.02 	32.34 	0.40 	0.00 	0.40 	2.00 	0	2.00 	0.00 	0.00 
1235	02/21 10	0.53 	24.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.05 	21.63 	0.48 	0.00 	0.48 	2.39 	0	2.39 	0.00 	0.00 
1236	02/21 11	0.84 	14.19 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	9.87 	0.84 	0.02 	0.86 	4.31 	0	4.31 	0.02 	0.00 
1237	02/21 12	0.84 	9.81 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	3.50 	0.84 	0.42 	1.26 	6.30 	0	6.30 	0.43 	0.00 
1238	02/21 13	0.84 	8.74 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	5.33 	0.68 	0.00 	0.68 	3.41 	0	3.41 	0.26 	0.00 
1239	02/21 14	0.84 	7.81 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.10 	5.36 	0.49 	0.00 	0.49 	2.45 	0	2.45 	0.00 	0.00 
1240	02/21 15	0.84 	7.58 	0.58 	4.80 	0.43 	0	0	0.13 	1.09 	0	0.00 	1.50 	0.27 	0.00 	0.27 	1.36 	0	1.36 	0.01 	0.08 
1241	02/21 16	1.40 	7.78 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.50 	1.40 	0.04 	0.00 	0.04 	0.21 	0	0.21 	0.05 	0.04 
1242	02/21 17	2.10 	9.17 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.20 	3.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.04 	0.01 
1243	02/21 18	3.27 	12.68 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	6.60 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.07 	0.07 
1244	02/21 19	3.27 	17.00 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.40 	10.80 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.09 	0.01 
1245	02/21 20	3.11 	20.17 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	2.20 	14.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.08 	0.08 
1246	02/21 21	2.65 	22.60 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	1.70 	16.40 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.03 	0.02 
1247	02/21 22	1.71 	22.38 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.80 	16.30 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.01 	0.08 
1248	02/21 23	0.23 	23.78 	0.26 	3.60 	0.29 	0	0	0.09 	1.19 	0	0.00 	20.20 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.05 	0.10 
1249	02/22 00	0.07 	24.62 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.02 	24.52 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1250	02/22 01	0.07 	28.18 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	28.18 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1251	02/22 02	0.07 	28.67 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	28.67 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1252	02/22 03	0.07 	29.15 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	29.15 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1253	02/22 04	0.07 	29.73 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	29.73 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.00 
1254	02/22 05	1.20 	31.21 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.30 	25.10 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.03 
1255	02/22 06	1.83 	31.15 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.90 	24.70 	0.07 	0.00 	0.07 	0.35 	0	0.35 	0.05 	0.07 
1256	02/22 07	1.20 	32.23 	0.90 	6.14 	0.58 	0	0	0.15 	1.02 	0	0.00 	24.70 	0.27 	0.00 	0.27 	1.35 	0	1.35 	0.02 	0.03 
