id	time	电需求	热需求	泛能机产电量	泛能机产热量	泛能机消耗燃气量	补燃锅炉产热量	补燃锅炉消耗燃气量	泛能机电效率	泛能机热效率	补燃锅炉热效率	市电	市热	光伏消耗	光伏存储	光伏产电量	光热消耗	光热存储	光热产热量	储电量	储热量
3680	06/02 07	1.20 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.94 	0.00 	0.25 	0.00 	0.25 	1.02 	0.242335033	1.26 	0.00 	0.24 
3681	06/02 08	0.37 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.04 	0.00 	0.33 	0.00 	0.33 	0.00 	1.673951434	1.67 	0.00 	1.90 
3682	06/02 09	0.53 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.13 	0.00 	0.40 	0.00 	0.40 	0.00 	2.017063218	2.02 	0.00 	3.89 
3683	06/02 10	0.53 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.08 	0.00 	0.45 	0.00 	0.45 	0.00 	2.24476766	2.24 	0.00 	6.12 
3684	06/02 11	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.38 	0.00 	0.46 	0.00 	0.46 	0.00 	2.324619727	2.32 	0.00 	7.00 
3685	06/02 12	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.39 	0.00 	0.45 	0.00 	0.45 	0.00 	2.244683523	2.24 	0.00 	7.00 
3686	06/02 13	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.44 	0.00 	0.40 	0.00 	0.40 	0.00 	2.016811064	2.02 	0.00 	7.00 
3687	06/02 14	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.51 	0.00 	0.33 	0.00 	0.33 	0.00 	1.673615271	1.67 	0.00 	7.00 
3688	06/02 15	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.59 	0.00 	0.25 	0.00 	0.25 	0.00 	1.26199887	1.26 	0.00 	7.00 
3689	06/02 16	1.40 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.24 	0.00 	0.17 	0.00 	0.17 	0.00 	0.833235281	0.83 	0.00 	7.00 
3690	06/02 17	2.10 	0.60 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	2.02 	0.00 	0.09 	0.00 	0.09 	0.43 	0	0.43 	0.00 	6.83 
3691	06/02 18	3.27 	0.60 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.25 	0.00 	0.02 	0.00 	0.02 	0.10 	0	0.10 	0.00 	6.32 
3692	06/02 19	3.27 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.27 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	4.26 
3693	06/02 20	3.11 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.11 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	2.20 
3694	06/02 21	2.65 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	2.65 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.13 
3695	06/02 22	1.71 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.71 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.13 
3696	06/02 23	0.23 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.23 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.13 
3697	06/03 00	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.13 
3698	06/03 01	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.13 
3699	06/03 02	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.13 
3700	06/03 03	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.07 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.13 
3701	06/03 04	0.07 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.02 	0.00 	0.05 	0.00 	0.05 	0.00 	0.244095168	0.24 	0.00 	0.37 
3702	06/03 05	1.20 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.07 	0.02 	0.13 	0.00 	0.13 	0.63 	0	0.63 	0.00 	0.00 
3703	06/03 06	1.83 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.59 	0.00 	0.24 	0.00 	0.24 	1.02 	0.182319905	1.20 	0.00 	0.18 
